,Symbol,Name,EntrezGene.ID,Ensembl.Gene.ID,HomoloGene.ID,HGNC.ID
cyp-44A1,cyp-44A1,cyp-44A1,cyp-44A1,cyp-44A1,cyp-44A1,cyp-44A1
ccr-4,ccr-4,ccr-4,ccr-4,ccr-4,ccr-4,ccr-4
cct-1,cct-1,cct-1,cct-1,cct-1,cct-1,cct-1
cct-2,cct-2,cct-2,cct-2,cct-2,cct-2,cct-2
cct-4,cct-4,cct-4,cct-4,cct-4,cct-4,cct-4
cct-5,cct-5,cct-5,cct-5,cct-5,cct-5,cct-5
cct-6,cct-6,cct-6,cct-6,cct-6,cct-6,cct-6
cdc-6,cdc-6,cdc-6,cdc-6,cdc-6,cdc-6,cdc-6
cdc-14,cdc-14,cdc-14,cdc-14,cdc-14,cdc-14,cdc-14
cdc-25.1,cdc-25.1,cdc-25.1,cdc-25.1,cdc-25.1,cdc-25.1,cdc-25.1
cdc-25.2,cdc-25.2,cdc-25.2,cdc-25.2,cdc-25.2,cdc-25.2,cdc-25.2
cdc-25.3,cdc-25.3,cdc-25.3,cdc-25.3,cdc-25.3,cdc-25.3,cdc-25.3
cdc-25.4,cdc-25.4,cdc-25.4,cdc-25.4,cdc-25.4,cdc-25.4,cdc-25.4
cdc-42,cdc-42,cdc-42,cdc-42,cdc-42,cdc-42,cdc-42
cdd-1,cdd-1,cdd-1,cdd-1,cdd-1,cdd-1,cdd-1
cdd-2,cdd-2,cdd-2,cdd-2,cdd-2,cdd-2,cdd-2
cdf-1,cdf-1,cdf-1,cdf-1,cdf-1,cdf-1,cdf-1
cdh-3,cdh-3,cdh-3,cdh-3,cdh-3,cdh-3,cdh-3
cdh-4,cdh-4,cdh-4,cdh-4,cdh-4,cdh-4,cdh-4
cdh-5,cdh-5,cdh-5,cdh-5,cdh-5,cdh-5,cdh-5
cdh-7,cdh-7,cdh-7,cdh-7,cdh-7,cdh-7,cdh-7
cdh-9,cdh-9,cdh-9,cdh-9,cdh-9,cdh-9,cdh-9
cdh-10,cdh-10,cdh-10,cdh-10,cdh-10,cdh-10,cdh-10
casy-1,casy-1,casy-1,casy-1,casy-1,casy-1,casy-1
cdk-1,cdk-1,cdk-1,cdk-1,cdk-1,cdk-1,cdk-1
cdk-4,cdk-4,cdk-4,cdk-4,cdk-4,cdk-4,cdk-4
cdk-5,cdk-5,cdk-5,cdk-5,cdk-5,cdk-5,cdk-5
cdk-7,cdk-7,cdk-7,cdk-7,cdk-7,cdk-7,cdk-7
cdk-8,cdk-8,cdk-8,cdk-8,cdk-8,cdk-8,cdk-8
cdk-9,cdk-9,cdk-9,cdk-9,cdk-9,cdk-9,cdk-9
cdl-1,cdl-1,cdl-1,cdl-1,cdl-1,cdl-1,cdl-1
cdr-1,cdr-1,cdr-1,cdr-1,cdr-1,cdr-1,cdr-1
cdt-1,cdt-1,cdt-1,cdt-1,cdt-1,cdt-1,cdt-1
cec-1,cec-1,cec-1,cec-1,cec-1,cec-1,cec-1
ced-1,ced-1,ced-1,ced-1,ced-1,ced-1,ced-1
ced-2,ced-2,ced-2,ced-2,ced-2,ced-2,ced-2
ced-3,ced-3,ced-3,ced-3,ced-3,ced-3,ced-3
ced-4,ced-4,ced-4,ced-4,ced-4,ced-4,ced-4
ced-5,ced-5,ced-5,ced-5,ced-5,ced-5,ced-5
ced-6,ced-6,ced-6,ced-6,ced-6,ced-6,ced-6
ced-7,ced-7,ced-7,ced-7,ced-7,ced-7,ced-7
ced-8,ced-8,ced-8,ced-8,ced-8,ced-8,ced-8
ced-9,ced-9,ced-9,ced-9,ced-9,ced-9,ced-9
ced-10,ced-10,ced-10,ced-10,ced-10,ced-10,ced-10
ced-11,ced-11,ced-11,ced-11,ced-11,ced-11,ced-11
ced-12,ced-12,ced-12,ced-12,ced-12,ced-12,ced-12
ced-13,ced-13,ced-13,ced-13,ced-13,ced-13,ced-13
ceh-1,ceh-1,ceh-1,ceh-1,ceh-1,ceh-1,ceh-1
ceh-2,ceh-2,ceh-2,ceh-2,ceh-2,ceh-2,ceh-2
ceh-5,ceh-5,ceh-5,ceh-5,ceh-5,ceh-5,ceh-5
ceh-6,ceh-6,ceh-6,ceh-6,ceh-6,ceh-6,ceh-6
ceh-7,ceh-7,ceh-7,ceh-7,ceh-7,ceh-7,ceh-7
ceh-8,ceh-8,ceh-8,ceh-8,ceh-8,ceh-8,ceh-8
ceh-9,ceh-9,ceh-9,ceh-9,ceh-9,ceh-9,ceh-9
ceh-10,ceh-10,ceh-10,ceh-10,ceh-10,ceh-10,ceh-10
ceh-12,ceh-12,ceh-12,ceh-12,ceh-12,ceh-12,ceh-12
ceh-13,ceh-13,ceh-13,ceh-13,ceh-13,ceh-13,ceh-13
ceh-14,ceh-14,ceh-14,ceh-14,ceh-14,ceh-14,ceh-14
ceh-16,ceh-16,ceh-16,ceh-16,ceh-16,ceh-16,ceh-16
ceh-17,ceh-17,ceh-17,ceh-17,ceh-17,ceh-17,ceh-17
ceh-18,ceh-18,ceh-18,ceh-18,ceh-18,ceh-18,ceh-18
ceh-19,ceh-19,ceh-19,ceh-19,ceh-19,ceh-19,ceh-19
ceh-20,ceh-20,ceh-20,ceh-20,ceh-20,ceh-20,ceh-20
ceh-21,ceh-21,ceh-21,ceh-21,ceh-21,ceh-21,ceh-21
ceh-22,ceh-22,ceh-22,ceh-22,ceh-22,ceh-22,ceh-22
ceh-23,ceh-23,ceh-23,ceh-23,ceh-23,ceh-23,ceh-23
ceh-24,ceh-24,ceh-24,ceh-24,ceh-24,ceh-24,ceh-24
pros-1,pros-1,pros-1,pros-1,pros-1,pros-1,pros-1
ceh-27,ceh-27,ceh-27,ceh-27,ceh-27,ceh-27,ceh-27
ceh-28,ceh-28,ceh-28,ceh-28,ceh-28,ceh-28,ceh-28
ceh-30,ceh-30,ceh-30,ceh-30,ceh-30,ceh-30,ceh-30
ceh-31,ceh-31,ceh-31,ceh-31,ceh-31,ceh-31,ceh-31
ceh-32,ceh-32,ceh-32,ceh-32,ceh-32,ceh-32,ceh-32
ceh-33,ceh-33,ceh-33,ceh-33,ceh-33,ceh-33,ceh-33
ceh-34,ceh-34,ceh-34,ceh-34,ceh-34,ceh-34,ceh-34
ceh-36,ceh-36,ceh-36,ceh-36,ceh-36,ceh-36,ceh-36
ceh-37,ceh-37,ceh-37,ceh-37,ceh-37,ceh-37,ceh-37
ceh-38,ceh-38,ceh-38,ceh-38,ceh-38,ceh-38,ceh-38
ceh-39,ceh-39,ceh-39,ceh-39,ceh-39,ceh-39,ceh-39
ceh-40,ceh-40,ceh-40,ceh-40,ceh-40,ceh-40,ceh-40
ceh-41,ceh-41,ceh-41,ceh-41,ceh-41,ceh-41,ceh-41
ceh-43,ceh-43,ceh-43,ceh-43,ceh-43,ceh-43,ceh-43
ceh-44,ceh-44,ceh-44,ceh-44,ceh-44,ceh-44,ceh-44
cpg-1,cpg-1,cpg-1,cpg-1,cpg-1,cpg-1,cpg-1
cel-1,cel-1,cel-1,cel-1,cel-1,cel-1,cel-1
cep-1,cep-1,cep-1,cep-1,cep-1,cep-1,cep-1
ces-1,ces-1,ces-1,ces-1,ces-1,ces-1,ces-1
ces-2,ces-2,ces-2,ces-2,ces-2,ces-2,ces-2
cey-1,cey-1,cey-1,cey-1,cey-1,cey-1,cey-1
cey-2,cey-2,cey-2,cey-2,cey-2,cey-2,cey-2
cey-3,cey-3,cey-3,cey-3,cey-3,cey-3,cey-3
cey-4,cey-4,cey-4,cey-4,cey-4,cey-4,cey-4
cfi-1,cfi-1,cfi-1,cfi-1,cfi-1,cfi-1,cfi-1
cft-1,cft-1,cft-1,cft-1,cft-1,cft-1,cft-1
cfz-2,cfz-2,cfz-2,cfz-2,cfz-2,cfz-2,cfz-2
cgh-1,cgh-1,cgh-1,cgh-1,cgh-1,cgh-1,cgh-1
cgp-1,cgp-1,cgp-1,cgp-1,cgp-1,cgp-1,cgp-1
cha-1,cha-1,cha-1,cha-1,cha-1,cha-1,cha-1
chd-3,chd-3,chd-3,chd-3,chd-3,chd-3,chd-3
che-1,che-1,che-1,che-1,che-1,che-1,che-1
che-2,che-2,che-2,che-2,che-2,che-2,che-2
