Ligand,Receptor,score
WBGene00006725,WBGene00003168,1.0
WBGene00006750,WBGene00006742,1.0
WBGene00022214,WBGene00006742,1.0
WBGene00022816,WBGene00006765,1.0
WBGene00007325,WBGene00006765,1.0
WBGene00012186,WBGene00006765,1.0
WBGene00022858,WBGene00006765,1.0
WBGene00006926,WBGene00004374,1.0
WBGene00002282,WBGene00001064,1.0
WBGene00012186,WBGene00001064,1.0
WBGene00010738,WBGene00001064,1.0
WBGene00006852,WBGene00006776,1.0
WBGene00022154,WBGene00006776,1.0
WBGene00022242,WBGene00003397,1.0
WBGene00003918,WBGene00001980,1.0
WBGene00006950,WBGene00004210,1.0
WBGene00006948,WBGene00004210,1.0
WBGene00006947,WBGene00004210,1.0
WBGene00004264,WBGene00004210,1.0
WBGene00022242,WBGene00003238,1.0
WBGene00003395,WBGene00003238,1.0
WBGene00006780,WBGene00006769,1.0
WBGene00001745,WBGene00001519,1.0
WBGene00001666,WBGene00001519,1.0
WBGene00001678,WBGene00001519,1.0
WBGene00004732,WBGene00002243,1.0
WBGene00006780,WBGene00002243,1.0
WBGene00003111,WBGene00002243,1.0
WBGene00003929,WBGene00002243,1.0
WBGene00001609,WBGene00000898,1.0
WBGene00000903,WBGene00000898,1.0
WBGene00000936,WBGene00000898,1.0
WBGene00002881,WBGene00000898,1.0
WBGene00004890,WBGene00004047,1.0
WBGene00004889,WBGene00004047,1.0
WBGene00022214,WBGene00003153,1.0
WBGene00003395,WBGene00003006,1.0
WBGene00003029,WBGene00003006,1.0
WBGene00012681,WBGene00000148,1.0
WBGene00004958,WBGene00000148,1.0
WBGene00000218,WBGene00000148,1.0
WBGene00019105,WBGene00000148,1.0
WBGene00077655,WBGene00000148,1.0
WBGene00000214,WBGene00000148,1.0
WBGene00012682,WBGene00000148,1.0
WBGene00019104,WBGene00000148,1.0
WBGene00017678,WBGene00000148,1.0
WBGene00015700,WBGene00000148,1.0
WBGene00000215,WBGene00000148,1.0
WBGene00000149,WBGene00000148,1.0
WBGene00012683,WBGene00000148,1.0
WBGene00004769,WBGene00000148,1.0
WBGene00001985,WBGene00000148,1.0
WBGene00019619,WBGene00000148,1.0
WBGene00000217,WBGene00000148,1.0
WBGene00003001,WBGene00000148,1.0
WBGene00013973,WBGene00000148,1.0
WBGene00003929,WBGene00000047,1.0
WBGene00003774,WBGene00003232,1.0
WBGene00006324,WBGene00003930,1.0
WBGene00004732,WBGene00003930,1.0
WBGene00006620,WBGene00003930,1.0
WBGene00016913,WBGene00003930,1.0
WBGene00006787,WBGene00003930,1.0
WBGene00003071,WBGene00002299,1.0
WBGene00004732,WBGene00002299,1.0
WBGene00003001,WBGene00002299,1.0
WBGene00002992,WBGene00002299,1.0
WBGene00002996,WBGene00002299,1.0
WBGene00006727,WBGene00002299,1.0
WBGene00006725,WBGene00002299,1.0
WBGene00004310,WBGene00002299,1.0
WBGene00006787,WBGene00002299,1.0
WBGene00008779,WBGene00002299,1.0
WBGene00002335,WBGene00002299,1.0
WBGene00006746,WBGene00004729,1.0
WBGene00004854,WBGene00004729,1.0
WBGene00006770,WBGene00004729,1.0
WBGene00015752,WBGene00000567,1.0
WBGene00011480,WBGene00000567,1.0
WBGene00003964,WBGene00000567,1.0
WBGene00003963,WBGene00000567,1.0
WBGene00000802,WBGene00000567,1.0
WBGene00004336,WBGene00000567,1.0
WBGene00002026,WBGene00000567,1.0
WBGene00016250,WBGene00000567,1.0
WBGene00002007,WBGene00000567,1.0
WBGene00003962,WBGene00000567,1.0
